store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area
store_44,45,0,01/10/2006,,Food & Beverage Services,Service to table restaurants,Italian - Service to table restaurants,7439082.0,201640.0,283.0
store_45,46,0,28/10/2010,27/02/2022,Bags & Footwear & Accessories,Footwear,Family footwear,3298259.0,1005062.0,218.0
store_46,47,0,01/01/2008,,Food & Beverage Services,Service to table restaurants,American & Burgers & Steakhouse,1917818.0,1034610.0,214.0
store_47,48,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Multibrand electronics,8334663.0,920996.0,223.0
store_48,49,0,01/11/2009,24/04/2022,Food & Beverage Services,Gourmet Food Products,Chocolate,6813692.0,187833.0,156.0
store_49,50,0,01/05/2009,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,9142654.0,1045358.0,237.0
store_50,51,0,01/01/2009,,Jewellery,Jewellery & Watches,Watches,701855.0,1153416.0,42.0
store_51,52,0,01/03/1999,,Fashion apparel,Women's Fashion,Women's Fashion,9609395.0,1183117.0,308.0
store_52,53,0,28/10/2010,,Food & Beverage Services,Fast Meal,Cafeterias,6947932.0,1177324.0,93.0
store_53,54,0,01/08/1995,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Coffee beans & capsules,3366887.0,685650.0,419.0
store_0,55,0,01/02/2010,29/03/2021,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,8849105.0,587601.0,151.0
store_54,56,0,15/09/2010,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,4890786.0,457951.0,62.0
store_55,57,0,01/08/2009,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",10003955.0,600600.0,200.0
store_56,58,0,01/06/2010,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",2841376.0,305970.0,345.0
store_57,59,0,28/10/2010,29/04/2023,Services,Imaterial services,Travel Agency,368743.0,940619.0,193.0
store_58,60,0,01/11/1975,,Services,Imaterial services,Travel Agency,5724297.0,1097918.0,312.0
store_59,61,0,01/09/2000,,Home,Furniture & Interior Design,Tableware and kitchen tools,9038528.0,145615.0,493.0
store_60,62,0,01/01/2008,20/03/2021,Health & Beauty,Optician,Optician & Sunglasses,4645225.0,299010.0,474.0
store_61,63,0,28/10/2010,31/07/2022,Health & Beauty,Hair & Body,Hairdressers,9497739.0,1168025.0,106.0
store_62,64,0,28/10/2010,20/09/2023,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,7388870.0,81700.0,112.0
store_63,65,0,28/10/2010,05/02/2023,Fashion apparel,Family Fashion,Family Fashion,565812.0,861727.0,62.0
store_64,66,0,01/11/1975,24/12/2020,Bags & Footwear & Accessories,Footwear,Family footwear,6143045.0,1310107.0,196.0
store_65,67,0,01/11/2010,31/10/2020,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,948063.0,579531.0,193.0
store_66,68,0,10/03/2011,,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,9539924.0,1293208.0,203.0
store_67,69,0,03/03/2011,24/06/2021,Fashion apparel,Women's Fashion,Women's Fashion,2206656.0,346858.0,262.0
store_68,70,0,21/03/2011,31/03/2024,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,1869961.0,939341.0,368.0
store_69,71,0,05/03/2011,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,9183423.0,554892.0,258.0
store_70,72,0,11/05/2011,07/04/2021,Food & Beverage Services,Gourmet Food Products,Bio and vegetarian,9443549.0,1067060.0,261.0
store_71,73,0,26/05/2011,25/12/2020,Fashion apparel,Women's Fashion,Women's Fashion,8183684.0,413857.0,325.0
store_72,74,0,01/06/2011,,Health & Beauty,Pharmacy,Pharmacy,6823914.0,807295.0,199.0
store_38,75,0,26/08/2011,,Fashion apparel,Lingerie & Underwear,Women underwear,3390211.0,869719.0,393.0
store_73,76,0,07/09/2011,,Services,Car services,Car wash,1351317.0,934868.0,343.0
store_74,77,0,04/11/2011,,Fashion apparel,Lingerie & Underwear,Women underwear,2956349.0,389120.0,287.0
store_75,78,0,24/11/2011,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,2804990.0,1110487.0,321.0
store_76,79,0,01/03/2012,29/10/2023,Food & Beverage Services,Fast Meal,Asian - Fast Meal,3512008.0,530454.0,480.0
store_77,80,0,25/06/2012,,Gifts,Florists,Florists,3947071.0,110236.0,255.0
store_78,81,0,02/07/2012,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",5113358.0,237998.0,436.0
store_79,82,0,02/07/2012,,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,5791935.0,1231225.0,117.0
store_80,83,0,10/08/2012,13/11/2022,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,4820041.0,46153.0,489.0
store_81,84,0,17/08/2012,,Fashion apparel,Women's Fashion,Women's Fashion,2058108.0,938433.0,289.0
store_82,85,0,20/09/2012,16/09/2021,Gifts,Themed Gift,Themed gift,4661533.0,515413.0,332.0
store_83,86,0,01/10/2012,25/09/2022,Fashion apparel,Men's Fashion,Men's Fashion,1356632.0,565210.0,471.0
store_84,87,0,22/10/2012,28/05/2023,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,9897476.0,500865.0,173.0
store_85,88,0,18/10/2012,,Food & Beverage Services,Service to table restaurants,Italian - Service to table restaurants,6015391.0,988969.0,439.0
store_52,89,0,27/10/2012,,Food & Beverage Services,Fast Meal,Cafeterias,7859827.0,1300522.0,306.0
store_86,90,0,01/10/2012,01/01/2024,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,1446450.0,421766.0,510.0
store_87,91,0,01/11/2012,02/06/2021,Food & Beverage Services,Fast Meal,Sandwiches,2021679.0,1054763.0,216.0
store_88,92,0,22/10/2012,26/08/2022,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,9736459.0,194037.0,8.0
store_89,93,0,01/12/2012,23/02/2021,Food & Beverage Services,Gourmet Food Products,Chocolate,4662629.0,910297.0,142.0
store_90,94,0,01/02/2013,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,6733274.0,864721.0,498.0
store_91,95,0,01/03/2013,,Services,Imaterial services,Others Immaterial services,817670.0,1131928.0,35.0
store_92,96,0,19/03/2013,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,6451761.0,698482.0,64.0
store_93,97,0,01/06/2013,,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,3339494.0,56299.0,176.0
store_16,98,0,20/06/2013,,Food & Beverage Services,Sweet moments,Juices,9998451.0,421258.0,463.0
store_94,99,0,06/06/2013,27/09/2020,Bags & Footwear & Accessories,Footwear,Sport shoes,1202001.0,1098325.0,359.0
store_95,100,0,08/06/2013,,Food & Beverage Services,Gourmet Food Products,Gourmet General Grocery,2047705.0,133960.0,150.0
store_96,101,0,13/06/2013,,Fashion apparel,Family Fashion,Family Fashion,1679028.0,738104.0,193.0
store_97,102,0,01/08/2013,,Bags & Footwear & Accessories,Footwear,Family footwear,2487842.0,560916.0,430.0
store_98,103,0,23/08/2013,,Fashion apparel,Family Fashion,Family Fashion,560096.0,411558.0,322.0
store_99,104,0,01/08/2013,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,1844048.0,954968.0,267.0
store_99,105,0,01/08/2013,27/03/2022,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,9637256.0,437802.0,453.0
store_100,106,0,05/09/2013,,Fashion apparel,Women's Fashion,Women's Fashion,8298693.0,1043676.0,449.0
store_101,107,0,18/10/2013,,Gifts,Toys,Toys,9778724.0,1025414.0,299.0
store_102,108,0,01/11/2013,01/07/2023,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,2137462.0,771188.0,420.0
store_103,109,0,01/01/2014,,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,4550693.0,504479.0,105.0
store_104,110,0,01/04/2014,,Sport,Sport Clothes & Equipment,Sport general store,1347402.0,320197.0,207.0
store_105,111,0,01/04/2014,22/09/2024,Fashion apparel,Family Fashion,Family Fashion,7334750.0,711479.0,20.0
store_106,112,0,14/04/2014,23/12/2020,Food & Beverage Services,Gourmet Food Products,"Herbal, spices and tea products",5569319.0,74615.0,459.0
store_107,113,0,26/06/2014,20/03/2021,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,2695168.0,821952.0,53.0
store_108,114,0,17/05/2014,28/02/2023,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",4633436.0,1241386.0,116.0
store_109,115,0,08/08/2014,,Bags & Footwear & Accessories,Footwear,Family footwear,9212083.0,44752.0,210.0
store_110,116,0,22/09/2014,03/04/2023,Food & Beverage Services,Fast Meal,American & Burgers,2363280.0,665749.0,344.0
store_111,117,0,19/07/2014,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,10023454.0,667192.0,380.0
store_112,118,0,01/10/2014,,Health & Beauty,Others,Vitamines and Sports Nutrition,945654.0,465816.0,214.0
store_113,119,0,27/09/2014,18/07/2022,Food & Beverage Services,"Bars, Coffee and Tea breaks","Bars, Cocktails and Champagne bars",9026199.0,1258322.0,350.0
store_73,120,0,27/10/2014,,Services,Car services,Car wash,5052783.0,914906.0,431.0
store_114,121,0,11/12/2014,,Food & Beverage Services,Fast Meal,American & Burgers,5201930.0,537750.0,249.0
store_115,122,0,05/12/2014,,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",3424008.0,801624.0,427.0
store_116,123,0,27/01/2015,26/10/2021,Fashion apparel,Lingerie & Underwear,Women underwear,4718781.0,449658.0,463.0
store_117,124,0,23/02/2015,,Food & Beverage Services,Gourmet Food Products,Chocolate,7897441.0,250291.0,116.0
store_118,125,0,05/03/2015,31/01/2023,Bags & Footwear & Accessories,Footwear,Family footwear,9800512.0,61446.0,178.0
store_119,126,0,09/04/2015,,Fashion apparel,Lingerie & Underwear,Women underwear,1303546.0,1005146.0,364.0
store_120,127,0,09/04/2015,24/02/2022,Fashion apparel,Lingerie & Underwear,Women underwear,9603863.0,645019.0,59.0
store_121,128,0,24/04/2015,21/09/2022,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",3726210.0,335681.0,459.0
store_122,129,0,21/05/2015,,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,1995361.0,377453.0,426.0
store_123,130,0,15/05/2015,,Health & Beauty,Optician,Optician & Sunglasses,3759773.0,1233397.0,38.0
store_124,131,0,19/06/2015,,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",3682055.0,92391.0,303.0
store_125,132,0,01/07/2015,04/09/2022,Bags & Footwear & Accessories,Footwear,Family footwear,4346788.0,338338.0,363.0
store_126,133,0,10/09/2015,,Health & Beauty,Optician,Optician & Sunglasses,3513152.0,319422.0,40.0
store_127,134,0,18/09/2015,,Gifts,Themed Gift,Themed gift,10109228.0,586618.0,130.0
store_128,135,0,18/09/2015,30/09/2020,Bags & Footwear & Accessories,Footwear,Sport shoes,4732782.0,289231.0,350.0
store_129,136,0,12/10/2015,20/02/2021,Home,Furniture & Interior Design,Decoration accessories / Design,1428906.0,1101709.0,26.0
store_130,137,0,29/10/2015,20/03/2022,Fashion apparel,Family Fashion,Family Fashion,7364862.0,1005404.0,498.0
store_131,138,0,19/11/2015,14/12/2020,Fashion apparel,Women's Fashion,Women's Fashion,4499501.0,1296441.0,149.0
store_132,139,0,03/12/2015,21/01/2024,Fashion apparel,Family Fashion,Family Fashion,3802351.0,637279.0,304.0
store_133,140,0,01/12/2015,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1751695.0,1152060.0,238.0
store_134,141,0,20/11/2015,,Gifts,Themed Gift,Themed gift,476339.0,1074383.0,384.0
store_135,142,0,01/12/2015,,Services,Imaterial services,Travel Agency,9218700.0,788529.0,420.0
store_136,143,0,20/02/2016,,Fashion apparel,Family Fashion,Family Fashion,498586.0,400813.0,183.0
store_137,144,0,04/03/2016,13/03/2021,Fashion apparel,Matern./Childr. Fash.,Children fashion,8840742.0,495802.0,398.0
store_138,145,0,21/04/2016,03/03/2023,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,2132018.0,717697.0,288.0
store_139,146,0,12/05/2016,,Fashion apparel,Lingerie & Underwear,Socks & Pantyhose,3679259.0,455088.0,484.0
store_140,147,0,20/06/2016,,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,1340458.0,1248060.0,232.0
store_141,148,0,24/06/2016,29/12/2021,Food & Beverage Services,Gourmet Food Products,Chocolate,9498951.0,597879.0,372.0
store_142,149,0,13/06/2016,,Services,Photo services,Photo Development,5278791.0,761907.0,372.0
store_143,150,0,11/08/2016,01/11/2021,Food & Beverage Services,Fast Meal,Local Kitchen,6384511.0,652647.0,375.0
store_144,151,0,18/08/2016,,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,7659207.0,1184435.0,310.0
store_145,152,0,19/10/2016,14/04/2024,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,7025529.0,339535.0,370.0
store_146,153,0,03/12/2016,28/02/2023,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,8762894.0,309664.0,246.0
store_147,154,0,04/01/2017,,Gifts,Themed Gift,Themed gift,1712391.0,860047.0,396.0
store_148,155,0,08/03/2017,30/07/2023,Bags & Footwear & Accessories,Footwear,Family footwear,6537900.0,428090.0,255.0
store_149,156,0,01/04/2017,31/01/2024,Food & Beverage Services,Sweet moments,Confectionery,8402081.0,491883.0,270.0
store_150,157,0,28/04/2017,,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,9882950.0,555909.0,353.0
store_151,158,0,01/06/2017,,Food & Beverage Services,Fast Meal,Sandwiches,3840098.0,151368.0,156.0
store_152,159,0,29/06/2017,,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,3305782.0,1072614.0,302.0
store_153,160,0,09/08/2017,,Food & Beverage Services,Fast Meal,Mediterranean and Oriental - Fast Meal,6786280.0,848757.0,143.0
store_154,161,0,07/09/2017,,Fashion apparel,Family Fashion,Family Fashion,9140808.0,125719.0,415.0
store_155,162,0,01/08/2017,,Non-retail,Hotels,Hotels,690400.0,795884.0,14.0
store_156,163,0,30/09/2017,04/11/2021,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",553493.0,1136708.0,151.0
store_157,164,0,09/10/2017,15/01/2023,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,5935988.0,688492.0,44.0
store_158,165,0,25/10/2017,,Health & Beauty,Optician,Optician & Sunglasses,3339600.0,731872.0,340.0
store_159,166,0,16/10/2017,,Food & Beverage Services,Gourmet Food Products,Gourmet General Grocery,9157225.0,760103.0,186.0
store_5,167,0,16/11/2017,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,7409047.0,832379.0,204.0
store_160,168,0,07/03/2018,29/09/2023,Bags & Footwear & Accessories,Footwear,Family footwear,3196856.0,407470.0,210.0
store_161,169,0,14/02/2018,,Food & Beverage Services,Fast Meal,Asian - Fast Meal,7672714.0,89231.0,288.0
store_162,170,0,02/05/2018,,Fashion apparel,Family Fashion,Family Fashion,3490555.0,1344950.0,14.0
store_111,171,0,01/05/2018,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,2273134.0,359912.0,440.0
store_163,172,0,02/08/2018,08/11/2023,Fashion apparel,Family Fashion,Jeans,4133445.0,1159958.0,442.0
store_164,173,0,01/08/2018,,Food & Beverage Services,Sweet moments,Juices,1286529.0,1012809.0,373.0
store_165,174,0,30/08/2018,03/04/2021,Fashion apparel,Family Fashion,Family Fashion,2116395.0,344041.0,21.0
store_166,175,0,03/08/2018,,Food & Beverage Services,Fast Meal,American & Burgers,4787604.0,1151504.0,230.0
store_167,176,0,13/09/2018,23/07/2023,Fashion apparel,Women's Fashion,Women's Fashion,3296667.0,987444.0,56.0
store_168,177,0,04/10/2018,,Home,Furniture & Interior Design,Decoration accessories / Design,9063487.0,968508.0,353.0
store_169,178,0,10/09/2018,30/08/2023,Fashion apparel,Women's Fashion,Women's Fashion,9332344.0,243771.0,100.0
store_170,179,0,01/10/2018,,Fashion apparel,Women's Fashion,Women's Fashion,7842520.0,693922.0,488.0
store_171,180,0,02/11/2018,,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,3859699.0,412695.0,156.0
store_172,181,0,07/11/2018,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,5526436.0,1136024.0,503.0
store_111,182,0,02/11/2018,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,217173.0,1352671.0,168.0
store_173,183,0,15/11/2018,,Fashion apparel,Women's Fashion,Women's Fashion,8904832.0,458635.0,145.0
store_174,184,0,09/02/2019,,Services,Imaterial services,Medical Services,1755938.0,882152.0,505.0
store_175,185,0,20/02/2019,,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",246092.0,1298126.0,413.0
store_176,186,0,01/03/2019,,Food & Beverage Services,Sweet moments,Icecreams & Frozen yogurts,2481033.0,265205.0,377.0
store_177,187,0,22/03/2019,,Bags & Footwear & Accessories,Footwear,Family footwear,9374219.0,843796.0,277.0
store_178,188,0,28/03/2019,,Food & Beverage Services,Fast Meal,Italian - Fast Meal,436408.0,1314780.0,30.0
store_179,189,0,29/03/2019,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1813473.0,193343.0,290.0
store_180,190,0,04/04/2019,,Fashion apparel,Family Fashion,Family Fashion,6284702.0,1017689.0,409.0
store_181,191,0,11/04/2019,,Health & Beauty,Optician,Optician & Sunglasses,9038391.0,494746.0,62.0
store_182,192,0,18/04/2019,17/04/2022,Food & Beverage Services,Fast Meal,Local Kitchen,8690718.0,555658.0,364.0
store_183,193,0,18/03/2019,,Health & Beauty,Hair & Body,Hairdressers,4832220.0,462497.0,209.0
store_184,194,0,06/05/2019,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",907714.0,1295645.0,201.0
store_185,195,0,04/05/2019,,Bags & Footwear & Accessories,Accessories,"Ties, Scarfs, Hats, Belts, Gloves ...",3918319.0,583466.0,141.0
store_186,196,0,01/07/2019,01/09/2022,Food & Beverage Services,Fast Meal,Italian - Fast Meal,7528586.0,327156.0,182.0
store_187,197,0,15/07/2019,14/06/2024,Food & Beverage Services,Gourmet Food Products,"Herbal, spices and tea products",3624115.0,230733.0,205.0
store_188,198,0,08/07/2019,30/06/2024,Food & Beverage Services,Sweet moments,Icecreams & Frozen yogurts,1032360.0,149932.0,70.0
store_189,199,0,02/08/2019,,Home,Furniture & Interior Design,Decoration accessories / Design,9153007.0,905052.0,240.0
store_190,200,0,13/05/2019,30/09/2020,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,5842255.0,739803.0,256.0
store_84,201,0,01/08/2019,,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,3804030.0,286162.0,219.0
store_191,202,0,27/08/2019,,Health & Beauty,Hair & Body,Hairdressers,1984925.0,1113073.0,396.0
store_192,203,0,22/08/2019,,Fashion apparel,Lingerie & Underwear,Women underwear,4293532.0,185412.0,303.0
store_193,204,0,13/09/2019,,Fashion apparel,Women's Fashion,Women's Fashion,8466589.0,1101369.0,436.0
store_194,205,0,19/09/2019,30/04/2021,Health & Beauty,Others,Vitamines and Sports Nutrition,786122.0,858437.0,251.0
store_184,206,0,11/10/2019,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",7849660.0,1144293.0,343.0
store_195,207,0,02/11/2019,,Fashion apparel,Family Fashion,Family Fashion,4532960.0,230433.0,172.0
store_111,208,0,02/11/2019,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,4656152.0,1295982.0,327.0
store_196,209,0,24/10/2019,,Food & Beverage Services,Fast Meal,Mediterranean and Oriental - Fast Meal,4832538.0,560987.0,429.0
store_12,210,0,18/11/2019,,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,8294686.0,979936.0,426.0
store_197,211,0,29/11/2019,25/12/2020,Fashion apparel,Women's Fashion,Women's Fashion,2043661.0,546768.0,467.0
store_198,212,0,21/12/2019,26/06/2022,Food & Beverage Services,Service to table restaurants,American & Burgers & Steakhouse,9199983.0,824797.0,178.0
store_199,213,0,20/12/2019,,Fashion apparel,Family Fashion,Family Fashion,2950313.0,1194361.0,1.0
store_200,214,0,06/09/2019,,Non-retail,Other Non-Retail,Other Non-Retail,5795790.0,56807.0,16.0
store_201,215,0,08/02/2020,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,4215375.0,978935.0,219.0
store_202,216,0,13/02/2020,25/12/2020,Bags & Footwear & Accessories,Accessories,"Ties, Scarfs, Hats, Belts, Gloves ...",4058767.0,1097758.0,49.0
store_203,217,0,19/02/2020,,Fashion apparel,Lingerie & Underwear,Women underwear,7271623.0,600120.0,507.0
store_171,218,0,18/02/2020,,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,3372842.0,1253776.0,314.0
store_204,219,0,11/02/2020,,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,6346287.0,63544.0,180.0
store_205,220,0,07/03/2020,11/08/2024,Fashion apparel,Women's Fashion,Women's Fashion,9387691.0,820240.0,298.0
store_206,221,0,12/05/2020,31/08/2024,Home,Furniture & Interior Design,Decoration accessories / Design,3588344.0,124414.0,337.0
store_207,222,0,15/05/2020,24/04/2021,Food & Beverage Services,Fast Meal,Sandwiches,7456390.0,562568.0,176.0
store_208,223,0,15/06/2020,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",579639.0,412043.0,285.0
store_209,224,0,13/06/2020,30/06/2024,Food & Beverage Services,Fast Meal,Cafeterias,1421331.0,458288.0,315.0
store_210,225,0,05/06/2020,,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,1849969.0,745020.0,165.0
store_211,226,0,01/06/2020,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,1557150.0,429562.0,430.0
