store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,mall_name,mall_country,total_mall_area,block_id,external_mall_id,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,average_dwell_time,median_dwell_time
store_77,80,0,25/06/2012,,Gifts,Florists,Florists,3947071.0,110236.0,255.0,mall_0,Germany Third Parties,80523.0,7707.0,13.0,-58348.0,43596.0,799.0,8995.0,60884.0,3313.0,51404.0,5449.0,1282098.56,196.95,46340.91,49041,11538887,249,297.1513353115727,180.0
store_78,81,0,02/07/2012,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",5113358.0,237998.0,436.0,mall_0,Germany Third Parties,80523.0,7702.0,13.0,-3320.0,62061.0,7784.0,4913.0,76503.0,2817.0,44539.0,12617.0,884010.67,454.21,31824.38,113553,7956096,250,390.7401965981552,240.0
store_79,82,0,02/07/2012,,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,5791935.0,1231225.0,117.0,mall_0,Germany Third Parties,80523.0,7673.0,13.0,-101833.0,18610.0,2881.0,1626.0,36544.0,14796.0,60191.0,137266.33,389525.67,5021.94,14250.94,1235397,3505731,246,1099.5182380122112,780.0
store_79,82,0,02/07/2012,,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,5791935.0,1231225.0,117.0,mall_0,Germany Third Parties,80523.0,7674.0,13.0,-101833.0,18610.0,2881.0,1626.0,36544.0,14796.0,60191.0,29569.67,246931.33,1073.09,8961.22,266127,2222382,248,1003.6021377105502,420.0
store_81,84,0,17/08/2012,,Fashion apparel,Women's Fashion,Women's Fashion,2058108.0,938433.0,289.0,mall_0,Germany Third Parties,80523.0,7531.0,13.0,-44978.0,16636.0,10851.0,12058.0,80380.0,13713.0,118855.0,3603.22,230175.56,132.91,8490.08,32429,2071580,244,434.7530968946208,180.0
store_85,88,0,18/10/2012,,Food & Beverage Services,Service to table restaurants,Italian - Service to table restaurants,6015391.0,988969.0,439.0,mall_0,Germany Third Parties,80523.0,7750.0,13.0,-99863.0,99775.0,4587.0,8012.0,73194.0,3553.0,112796.0,12707.89,600629.56,457.48,21622.66,114371,5405666,250,2826.52272678104,2820.0
store_90,94,0,01/02/2013,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,6733274.0,864721.0,498.0,mall_0,Germany Third Parties,80523.0,7623.0,13.0,-38168.0,52439.0,6366.0,15116.0,72227.0,15771.0,34089.0,28434.11,445996.11,1027.74,16120.34,255907,4013965,249,942.731359997326,480.0
store_91,95,0,01/03/2013,,Services,Imaterial services,Others Immaterial services,817670.0,1131928.0,35.0,mall_0,Germany Third Parties,80523.0,7727.0,13.0,-63469.0,76331.0,7684.0,5303.0,50338.0,14884.0,54268.0,5625.44,195365.67,202.52,7033.16,50629,1758291,250,1162.66178585436,420.0
store_92,96,0,19/03/2013,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,6451761.0,698482.0,64.0,mall_0,Germany Third Parties,80523.0,7575.0,13.0,-65866.0,42997.0,4358.0,4609.0,42074.0,4821.0,60444.0,3086.89,332010.22,112.02,12048.76,27782,2988092,248,519.2871652816251,360.0
store_93,97,0,01/06/2013,,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,3339494.0,56299.0,176.0,mall_0,Germany Third Parties,80523.0,7535.0,13.0,-45661.0,22414.0,12352.0,7166.0,79446.0,13676.0,60822.0,17910.11,230143.22,668.84,8594.56,161191,2071289,241,454.0805652994289,240.0
store_95,100,0,08/06/2013,,Food & Beverage Services,Gourmet Food Products,Gourmet General Grocery,2047705.0,133960.0,150.0,mall_0,Germany Third Parties,80523.0,7567.0,13.0,-67235.0,60220.0,7462.0,7669.0,8582.0,12524.0,107776.0,2838.22,541662.67,102.18,19499.86,25544,4874964,250,386.937132634807,240.0
store_96,101,0,13/06/2013,,Fashion apparel,Family Fashion,Family Fashion,1679028.0,738104.0,193.0,mall_0,Germany Third Parties,80523.0,7564.0,13.0,-12841.0,39806.0,4207.0,9082.0,59851.0,10959.0,110823.0,12778.78,289659.0,467.52,10597.28,115009,2606931,246,372.56846505147456,180.0
store_97,102,0,01/08/2013,,Bags & Footwear & Accessories,Footwear,Family footwear,2487842.0,560916.0,430.0,mall_0,Germany Third Parties,80523.0,7561.0,13.0,-117320.0,91263.0,3054.0,10820.0,54539.0,2283.0,111675.0,43604.22,574050.78,1576.06,20748.82,392438,5166457,249,458.27134129276976,300.0
store_98,103,0,23/08/2013,,Fashion apparel,Family Fashion,Family Fashion,560096.0,411558.0,322.0,mall_0,Germany Third Parties,80523.0,7526.0,13.0,-14912.0,65858.0,6139.0,2555.0,32126.0,14590.0,121500.0,60168.67,528494.11,2166.07,19025.79,541518,4756447,250,490.01227095942266,240.0
store_99,104,0,01/08/2013,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,1844048.0,954968.0,267.0,mall_0,Germany Third Parties,80523.0,7746.0,13.0,-57134.0,30775.0,1247.0,4119.0,8557.0,11283.0,48185.0,11785.11,600703.33,424.26,21625.32,106066,5406330,250,2087.524602573808,2100.0
store_100,106,0,05/09/2013,,Fashion apparel,Women's Fashion,Women's Fashion,8298693.0,1043676.0,449.0,mall_0,Germany Third Parties,80523.0,7558.0,13.0,-4829.0,27521.0,7867.0,7477.0,45434.0,6495.0,20749.0,3231.22,230384.22,119.18,8497.78,29081,2073458,244,350.51088253679603,180.0
store_101,107,0,18/10/2013,,Gifts,Toys,Toys,9778724.0,1025414.0,299.0,mall_0,Germany Third Parties,80523.0,7529.0,13.0,-90163.0,73075.0,5182.0,5885.0,50305.0,6822.0,40076.0,21700.33,528492.89,781.21,19025.74,195303,4756436,250,528.8912082514735,300.0
store_103,109,0,01/01/2014,,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,4550693.0,504479.0,105.0,mall_0,Germany Third Parties,80523.0,7715.0,13.0,-12615.0,74931.0,935.0,12866.0,47110.0,1799.0,21799.0,94753.0,301627.22,3411.11,10858.58,852777,2714645,250,504.6518671219441,300.0
store_104,110,0,01/04/2014,,Sport,Sport Clothes & Equipment,Sport general store,1347402.0,320197.0,207.0,mall_0,Germany Third Parties,80523.0,7513.0,13.0,-62268.0,9202.0,5058.0,9467.0,77785.0,9464.0,36903.0,32526.67,782472.89,1170.96,28169.02,292740,7042256,250,558.8422346506054,360.0
store_105,111,0,01/04/2014,22/09/2024,Fashion apparel,Family Fashion,Family Fashion,7334750.0,711479.0,20.0,mall_0,Germany Third Parties,80523.0,7668.0,13.0,-81214.0,51868.0,4107.0,15214.0,82953.0,5583.0,36663.0,30010.67,750762.17,1091.3,27300.44,180064,4504573,165,386.0355241696987,240.0
store_109,115,0,08/08/2014,,Bags & Footwear & Accessories,Footwear,Family footwear,9212083.0,44752.0,210.0,mall_0,Germany Third Parties,80523.0,7694.0,13.0,-53686.0,52162.0,9997.0,12612.0,34308.0,11483.0,69235.0,10616.11,884132.44,382.18,31828.77,95545,7957192,250,295.94389326034894,180.0
store_111,117,0,19/07/2014,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,10023454.0,667192.0,380.0,mall_0,Germany Third Parties,80523.0,7616.0,13.0,-69417.0,92867.0,13095.0,5569.0,76211.0,15821.0,113884.0,2478.44,1266854.67,89.22,45606.77,22306,11401692,250,461.5485996705107,180.0
store_112,118,0,01/10/2014,,Health & Beauty,Others,Vitamines and Sports Nutrition,945654.0,465816.0,214.0,mall_0,Germany Third Parties,80523.0,7546.0,13.0,-118464.0,84200.0,4296.0,2616.0,84321.0,11881.0,61496.0,1885.78,332009.78,68.71,12097.52,16972,2988088,247,308.65317367807563,180.0
store_114,121,0,11/12/2014,,Food & Beverage Services,Fast Meal,American & Burgers,5201930.0,537750.0,249.0,mall_0,Germany Third Parties,80523.0,7745.0,13.0,-9392.0,7335.0,6622.0,14391.0,27049.0,11922.0,51956.0,29955.67,600609.33,1078.4,21621.94,269601,5405484,250,1538.5170648916703,1500.0
store_115,122,0,05/12/2014,,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",3424008.0,801624.0,427.0,mall_0,Germany Third Parties,80523.0,7612.0,13.0,-65670.0,3412.0,1216.0,11689.0,78424.0,4614.0,6650.0,1509.0,446134.67,54.54,16125.35,13581,4015212,249,1449.9895662542854,600.0
store_117,124,0,23/02/2015,,Food & Beverage Services,Gourmet Food Products,Chocolate,7897441.0,250291.0,116.0,mall_0,Germany Third Parties,80523.0,7706.0,13.0,-97635.0,42237.0,4437.0,13586.0,43842.0,7270.0,61115.0,7609.78,1281719.44,273.95,46141.9,68488,11535475,250,263.0541001942662,180.0
store_119,126,0,09/04/2015,,Fashion apparel,Lingerie & Underwear,Women underwear,1303546.0,1005146.0,364.0,mall_0,Germany Third Parties,80523.0,7559.0,13.0,-14371.0,93036.0,12590.0,14387.0,36008.0,15218.0,25206.0,2765.78,230379.44,102.02,8497.6,24892,2073415,244,390.8540017014593,240.0
store_122,129,0,21/05/2015,,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,1995361.0,377453.0,426.0,mall_0,Germany Third Parties,80523.0,7625.0,13.0,-82914.0,5655.0,12789.0,9099.0,52548.0,2295.0,92326.0,6016.89,312292.11,216.61,11242.52,54152,2810629,250,290.7068431427767,180.0
store_123,130,0,15/05/2015,,Health & Beauty,Optician,Optician & Sunglasses,3759773.0,1233397.0,38.0,mall_0,Germany Third Parties,80523.0,7609.0,13.0,-76303.0,33684.0,323.0,15164.0,14253.0,14638.0,17742.0,14557.17,1301463.5,504.87,45137.46,87343,7808781,173,586.0431684141547,300.0
store_124,131,0,19/06/2015,,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",3682055.0,92391.0,303.0,mall_0,Germany Third Parties,80523.0,7538.0,13.0,-69350.0,60675.0,4653.0,8392.0,50027.0,9706.0,69072.0,6383.33,289561.78,242.41,10996.02,57450,2606056,237,2560.8976157082748,2220.0
store_126,133,0,10/09/2015,,Health & Beauty,Optician,Optician & Sunglasses,3513152.0,319422.0,40.0,mall_0,Germany Third Parties,80523.0,7516.0,13.0,-45493.0,39543.0,5127.0,5076.0,46432.0,13877.0,25430.0,3430.78,528502.11,123.51,19026.08,30877,4756519,250,630.781410527588,360.0
store_127,134,0,18/09/2015,,Gifts,Themed Gift,Themed gift,10109228.0,586618.0,130.0,mall_0,Germany Third Parties,80523.0,7697.0,13.0,-26426.0,5380.0,10102.0,6134.0,39278.0,7320.0,34465.0,18114.0,376897.44,654.72,13622.8,163026,3392077,249,411.4825690985932,300.0
store_133,140,0,01/12/2015,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1751695.0,1152060.0,238.0,mall_0,Germany Third Parties,80523.0,7521.0,13.0,-27342.0,86695.0,3220.0,8579.0,33039.0,12300.0,7922.0,9853.67,782493.44,354.73,28169.76,88683,7042441,250,414.0075172269785,240.0
store_134,141,0,20/11/2015,,Gifts,Themed Gift,Themed gift,476339.0,1074383.0,384.0,mall_0,Germany Third Parties,80523.0,7539.0,13.0,-64462.0,78179.0,9900.0,2223.0,23205.0,10856.0,118594.0,20011.11,289586.11,735.1,10637.86,180100,2606275,245,402.02335577001054,300.0
store_135,142,0,01/12/2015,,Services,Imaterial services,Travel Agency,9218700.0,788529.0,420.0,mall_0,Germany Third Parties,80523.0,7629.0,13.0,-100701.0,93950.0,1379.0,4074.0,63255.0,6602.0,81683.0,2395.0,349288.78,86.22,12574.4,21555,3143599,250,1284.8652809853734,720.0
