block_id,external_mall_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data
6527,26,54804.38,384671.15,1962.69,13776.1,712457,5000725,363
9419,32,4946.0,875934.8,187.35,33179.35,24730,4379674,132
24,7,27780.13,568372.63,1010.19,20668.1,222241,4546981,220
6715,22,84564.36,488151.73,2971.91,17155.49,930208,5369669,313
4999,14,1231.55,1920278.27,45.92,71603.6,13547,21123061,295
7341,30,6053.8,721964.0,227.59,27141.5,60538,7219640,266
6856,33,1718.4,423736.1,59.05,14561.38,17184,4237361,291
1754,16,32415.54,2164985.0,1151.37,76898.37,421402,28144805,366
5805,28,18636.15,252108.69,661.94,8954.68,242270,3277413,366
6390,26,30430.69,1243058.15,1089.8,44517.23,395599,16159756,363
7043,19,2978.8,519963.1,111.98,19547.48,29788,5199631,266
4656,10,2839.54,598786.62,100.86,21268.38,36914,7784226,366
4526,10,1975.77,254293.0,70.18,9032.27,25685,3305809,366
2346,24,14503.73,889774.82,540.82,33178.04,159541,9787523,295
7242,19,2133.4,148668.5,80.2,5589.04,21334,1486685,266
7044,19,7580.9,519830.3,285.0,19542.49,75809,5198303,266
7312,30,4419.8,1010381.0,166.16,37984.25,44198,10103810,266
7692,13,5746.33,884088.22,206.87,31827.18,51717,7956794,250
35,7,124687.63,872310.25,4453.13,31153.94,997501,6978482,224
2152,14,8669.69,593900.0,307.94,21094.81,112706,7720700,366
4544,10,0.0,70698.75,0.0,3288.31,0,282795,86
6016,23,55589.31,530125.77,1974.48,18829.6,722661,6891635,366
4431,17,15407.15,444521.85,548.75,15832.28,200293,5778784,365
77,7,42134.87,829304.88,1504.82,29618.03,337079,6634439,224
6884,33,0.0,172856.2,0.0,6402.08,0,864281,135
4592,10,25640.08,742537.0,910.71,26374.27,333321,9652981,366
6094,23,5437.7,653011.0,202.14,24275.5,54377,6530110,269
7644,13,71909.33,312256.33,2588.74,11241.23,647184,2810307,250
5717,28,6891.82,415447.0,253.55,15284.0,75810,4569917,299
2252,24,5088.62,374474.92,183.76,13522.71,66152,4868174,360
42,7,54710.0,708018.75,1953.93,25286.38,437680,5664150,224
4361,17,4619.23,654358.77,164.07,23242.25,60050,8506664,366
1881,16,32293.46,612212.54,1147.04,21745.25,419815,7958763,366
11657,32,3828.2,575332.0,145.01,21792.88,19141,2876660,132
6288,25,5019.77,683403.85,178.3,24273.91,65257,8884250,366
6778,33,949.8,661123.9,32.64,22719.03,9498,6611239,291
4511,10,9190.23,531040.08,326.43,18862.08,119473,6903521,366
4404,17,28277.0,229990.85,1009.89,8213.96,367601,2989881,364
2256,24,6749.15,361399.92,256.55,13737.42,87739,4698199,342
5909,23,4804.31,254909.69,170.64,9054.17,62456,3313826,366
4287,17,14663.77,703824.69,520.84,24999.24,190629,9149721,366
7420,30,22612.9,417365.5,850.11,15690.43,226129,4173655,266
7094,19,1331.7,254442.3,50.25,9601.6,13317,2544423,265
5097,14,44932.62,1607539.08,1595.97,57098.38,584124,20898008,366
1,7,0.0,804764.0,0.0,28741.57,0,6438112,224
5183,14,11704.77,351371.23,415.74,12480.4,152162,4567826,366
6780,33,35527.5,416539.0,1220.88,14314.05,355275,4165390,291
7331,30,25152.8,721966.2,945.59,27141.59,251528,7219662,266
6898,33,4031.2,448301.6,138.53,15405.55,40312,4483016,291
6676,22,9502.64,858293.45,332.89,30067.61,104529,9441228,314
1871,16,3359.85,398141.92,119.34,14141.65,43678,5175845,366
4341,17,18755.08,703803.15,666.16,24998.47,243816,9149441,366
6515,26,2756.0,531797.57,103.72,20013.89,19292,3722583,186
6743,33,6130.8,421631.7,210.68,14489.06,61308,4216317,291
5704,28,23822.46,665514.31,846.15,23638.49,309692,8651686,366
5691,28,10328.08,798115.08,366.84,28348.35,134265,10375496,366
6256,25,6379.78,414549.33,247.49,16081.66,57418,3730944,232
5967,23,17310.92,455268.62,614.87,16170.74,225042,5918492,366
1702,16,37070.08,850231.23,1316.7,30199.47,481911,11053006,366
1718,16,9919.15,848190.62,353.28,30209.53,128949,11026478,365
26,7,19349.0,801827.87,691.04,28636.71,154792,6414623,224
6214,25,32123.92,1188524.38,1141.01,42215.35,417611,15450817,366
2330,24,2366.0,525019.78,84.17,18676.59,21294,4725178,253
5155,14,45923.23,722588.38,1631.15,25665.71,597002,9393649,366
7659,13,7781.89,343604.67,281.27,12419.45,70037,3092442,249
6922,33,954.6,135603.4,32.8,4659.91,9546,1356034,291
2323,24,6165.92,728069.46,219.01,25860.39,80157,9464903,366
3971,19,7455.9,428726.4,280.3,16117.53,74559,4287264,266
6061,23,23237.23,691969.77,825.37,24578.16,302084,8995607,366
1822,16,87102.38,612715.15,3093.8,21763.11,1132331,7965297,366
6225,25,5547.77,1189500.62,197.05,42250.02,72121,15463508,366
4277,17,65000.08,1001525.38,2308.75,35573.31,845001,13019830,366
7026,19,6023.67,382358.67,282.36,17923.06,18071,1147076,64
517,15,1955.0,385001.38,69.63,13712.38,25415,5005018,365
4519,10,17122.31,312700.46,608.17,11106.85,222590,4065106,366
7470,30,6232.0,821860.3,234.29,30897.0,62320,8218603,266
4966,14,18863.69,2449765.85,670.02,87013.54,245228,31846956,366
5675,28,12085.15,984404.85,429.25,34965.2,157107,12797263,366
6636,22,29322.64,761682.73,1037.14,26940.55,322549,8378510,311
5733,28,9517.31,984422.38,338.05,34965.82,123725,12797491,366
1812,16,20847.38,1340780.15,740.48,47623.34,271016,17430142,366
5828,28,174665.23,655744.69,6203.96,23291.48,2270648,8524681,366
7632,13,3037.33,349357.22,109.34,12576.86,27336,3144215,250
1784,16,10911.62,378048.23,387.57,13427.94,141851,4914627,366
6330,25,1398.08,388468.38,49.66,13798.06,18175,5050089,366
4492,10,11241.77,304135.08,399.3,10802.61,146143,3953756,366
6087,23,3131.62,530131.15,111.23,18829.8,40711,6891705,366
6474,26,4201.0,367483.2,144.36,12628.29,42010,3674832,291
4682,10,25029.69,536049.69,889.03,19040.02,325386,6968646,366
7428,30,30905.4,821903.2,1161.86,30898.62,309054,8219032,266
2818,12,6595.54,241102.0,234.27,8563.73,85742,3134326,366
4735,10,7045.0,448015.38,250.23,15913.11,91585,5824200,366
37,7,20610.5,670020.88,736.09,23929.32,164884,5360167,224
6801,33,11482.2,421621.8,394.58,14488.72,114822,4216218,291
4512,10,5545.92,531030.46,196.99,18861.74,72097,6903396,366
7392,30,7993.1,243632.5,300.49,9159.12,79931,2436325,266
485,15,3576.31,310932.46,127.73,11104.73,46492,4042122,364
11629,32,14912.5,1170106.0,621.35,48754.42,59650,4680424,96
7326,30,2616.7,1181713.3,98.37,44425.31,26167,11817133,266
7399,30,7877.0,252669.2,296.13,9498.84,78770,2526692,266
6924,33,1265.2,135601.9,43.48,4659.86,12652,1356019,291
2913,12,38763.77,1591657.62,1376.86,56534.29,503929,20691549,366
6492,26,15558.77,577748.92,557.2,20690.73,202264,7510736,363
7337,30,20820.3,722539.5,782.72,27163.14,208203,7225395,266
6744,33,1252.9,421634.2,43.05,14489.15,12529,4216342,291
6572,26,12320.69,532534.31,441.24,19071.48,160169,6922946,363
6741,33,76987.6,421516.9,2645.62,14485.12,769876,4215169,291
4282,17,20292.85,893729.46,720.78,31744.49,263807,11618483,366
7386,30,11559.4,722119.6,434.56,27147.35,115594,7221196,266
5005,14,64624.85,452209.31,2295.42,16062.08,840123,5878721,366
5016,14,1985.0,461162.15,70.51,16380.08,25805,5995108,366
1748,16,33212.9,1320151.7,1272.52,50580.52,332129,13201517,261
7541,13,11891.0,209607.22,445.91,7860.27,107019,1886465,240
2216,24,25812.31,1026179.23,916.83,36448.99,335560,13340330,366
7594,13,24438.44,1266849.56,879.78,45606.58,219946,11401646,250
7227,19,6865.3,226410.1,258.09,8511.66,68653,2264101,266
4668,10,2934.15,419624.0,104.22,14904.68,38144,5455112,366
7431,30,5465.6,602943.5,205.47,22667.05,54656,6029435,266
6970,33,11554.2,62857.9,397.05,2160.07,115542,628579,291
5013,14,13101.23,449146.54,465.34,15953.29,170316,5838905,366
5924,23,2273.92,242274.08,80.77,8605.36,29561,3149563,366
5734,28,4213.69,985042.85,149.67,34987.86,54778,12805557,366
6436,26,264788.0,311064.69,9723.85,11423.28,3442244,4043841,354
2295,24,1283.0,536368.08,45.57,19051.33,16679,6972785,366
7410,30,14341.2,491283.8,539.14,18469.32,143412,4912838,266
2970,12,1977.69,1558438.08,70.44,55506.01,25710,20259695,365
1732,16,10514.77,375826.46,373.48,13349.03,136692,4885744,366
2899,12,77268.69,613002.46,2759.6,21892.95,1004493,7969032,364
6806,33,5721.2,668735.9,196.6,22980.62,57212,6687359,291
1649,16,144540.08,573222.46,5205.04,20642.36,1879021,7451892,361
2271,24,86279.85,368538.08,3064.58,13090.15,1121638,4790995,366
6681,22,19726.09,327086.27,695.47,11531.89,216987,3597949,312
7640,13,11450.0,349363.0,412.2,12577.07,103050,3144267,250
1682,16,6011.92,496262.38,213.54,17626.81,78155,6451411,366
2313,24,6910.38,728226.54,245.45,25865.97,89835,9466945,366
11624,32,1457.8,1799181.0,55.22,68150.8,7289,8995905,132
5970,23,6116.15,455166.15,217.24,16167.1,79510,5917160,366
57,7,23341.12,535912.13,833.61,19139.72,186729,4287297,224
7747,13,69583.33,600861.33,2505.0,21631.01,626250,5407752,250
6263,25,26272.15,196009.54,933.16,6962.09,341538,2548124,366
7299,30,40573.4,1181712.2,1525.32,44425.27,405734,11817122,266
4500,10,4837.38,497895.54,171.82,17684.81,62886,6472642,366
4542,10,2239.15,179834.08,79.53,6387.55,29109,2337843,366
4719,10,17804.0,369833.23,632.38,13136.15,231452,4807832,366
5164,14,3063.23,636853.92,108.8,22620.49,39822,8279101,366
4789,10,8734.85,397278.38,310.25,14110.98,113553,5164619,366
6025,23,3937.85,368536.0,139.87,13090.08,51192,4790968,366
6496,26,10782.46,574624.85,388.29,20692.86,140172,7470123,361
2868,12,9662.0,921054.15,343.19,32715.04,125606,11973704,366
6655,22,19950.09,507329.91,698.89,17772.7,219451,5580629,314
492,15,6478.31,556703.0,230.1,19773.6,84218,7237139,366
7731,13,3020.33,289563.78,110.5,10593.8,27183,2606074,246
4608,10,36640.0,481410.38,1301.42,17099.28,476320,6258335,366
4882,7,2612.5,535105.88,93.3,19110.92,20900,4280847,224
4488,10,4966.69,304119.0,176.41,10802.04,64567,3953547,366
1733,16,12030.85,851661.0,427.33,30250.25,156401,11071593,366
6090,23,4291.62,300080.77,152.43,10658.61,55791,3901050,366
2285,24,27823.0,368534.77,988.25,13090.03,361699,4790952,366
6004,23,1916.0,289728.62,68.05,10290.91,24908,3766472,366
2861,12,29063.38,452562.23,1032.31,16074.61,377824,5883309,366
1168,36,100443.0,964907.0,4304.7,41353.16,301329,2894721,70
6218,25,28532.23,1188583.54,1013.44,42217.45,370919,15451586,366
6019,23,498.55,200859.82,17.19,6926.2,5484,2209458,319
6852,33,2328.3,88177.4,80.01,3030.15,23283,881774,291
7114,19,2298.4,689514.5,86.41,25921.6,22984,6895145,266
7206,19,4073.6,205722.8,162.94,8228.91,20368,1028614,125
6029,23,6339.3,739580.8,228.86,26699.67,63393,7395808,277
488,15,4136.62,309572.08,148.14,11086.6,53776,4024437,363
494,15,4934.54,459645.54,175.75,16370.94,64149,5975392,365
4280,17,110914.08,1412539.08,3939.57,50172.15,1441883,18363008,366
5910,23,11861.92,255804.0,421.33,9085.93,154205,3325452,366
2294,24,1959.78,494791.78,68.36,17260.18,17638,4453126,258
1642,16,4825.62,822884.62,171.4,29228.14,62733,10697500,366
5935,23,2515.46,289031.15,89.35,10266.13,32701,3757405,366
1653,16,7757.62,492371.69,275.54,17488.61,100849,6400832,366
11,7,4208.37,303373.5,150.3,10834.77,33667,2426988,224
7012,19,23261.83,343803.67,877.81,12973.72,139571,2062822,159
544,15,13871.23,511008.62,496.77,18300.58,180326,6643112,363
6155,25,27715.77,448528.46,984.44,15931.34,360305,5830870,366
6521,26,10111.62,611820.62,362.12,21910.93,131451,7953668,363
4660,10,2027.77,806586.77,72.02,28649.26,26361,10485628,366
7321,30,81138.6,674995.8,3050.32,25375.78,811386,6749958,266
4704,10,3098.0,342173.0,110.04,12153.69,40274,4448249,366
2237,24,66796.38,696036.62,2372.55,24722.61,868353,9048476,366
4601,10,7004.46,742767.31,248.79,26382.45,91058,9655975,366
5105,14,13634.54,703445.38,484.29,24985.77,177249,9144790,366
4414,17,5120.38,110905.0,182.37,3950.04,66565,1441765,365
5140,14,9415.31,561153.85,334.42,19931.69,122399,7295000,366
6336,25,19202.62,267372.15,682.06,9496.83,249634,3475838,366
6375,26,7675.31,624240.85,274.87,22355.73,99779,8115131,363
7045,19,17775.1,428839.3,668.24,16121.78,177751,4288393,266
1686,16,9211.62,607879.23,327.19,21591.34,119751,7902430,366
422,15,1825.46,382247.31,64.84,13577.09,23731,4969215,366
438,15,3731.18,386745.0,128.66,13336.03,41043,4254195,319
6058,23,5440.08,207308.31,193.23,7363.41,70721,2695008,366
6919,33,0.0,82636.5,0.0,2785.5,0,495819,178
7298,30,31111.1,1181654.5,1169.59,44423.1,311111,11816545,266
5093,14,30752.85,860461.31,1092.31,30562.83,399787,11185997,366
454,15,29791.77,286402.23,1058.18,10172.76,387293,3723229,366
12123,28,11475.13,874231.5,423.05,32229.73,91801,6993852,217
6285,25,44396.0,1037344.85,1576.91,36845.58,577148,13485483,366
6401,26,21611.89,755383.33,750.99,26248.84,194507,6798450,259
6669,22,4683.91,724056.82,164.09,25365.05,51523,7964625,314
7646,13,12013.67,330280.78,432.49,11890.11,108123,2972527,250
7458,30,7356.8,309040.5,276.57,11618.06,73568,3090405,266
6335,25,3607.0,248670.18,137.77,9497.82,39677,2735372,288
2266,24,9049.31,556693.38,321.42,19773.26,117641,7237014,366
7217,19,7953.3,226502.9,299.0,8515.15,79533,2265029,266
6339,25,46831.0,254207.85,1663.4,9029.24,608803,3304702,366
6342,25,2522.08,196069.23,89.58,6964.21,32787,2548900,366
7004,19,45728.6,371543.5,1719.12,13967.8,457286,3715435,266
1243,36,26119.33,889700.67,1119.4,38130.03,78358,2669102,70
6966,33,11017.5,381371.6,378.61,13105.55,110175,3813716,291
1267,36,3016.0,891874.0,129.26,38223.17,9048,2675622,70
6708,22,104626.55,634188.09,3676.97,22287.76,1150892,6976069,313
4646,10,4697.38,177010.31,166.85,6287.25,61066,2301134,366
2927,12,9962.0,430770.92,353.84,15300.61,129506,5600022,366
4650,10,15083.77,608483.92,535.76,21612.82,196089,7910291,366
4956,14,26007.31,929965.15,923.76,33031.55,338095,12089547,366
5012,14,980.69,184663.92,34.83,6559.1,12749,2400631,366
5177,14,31360.31,462353.62,1113.89,16422.4,407684,6010597,366
7107,19,6324.5,456648.1,237.76,17167.22,63245,4566481,266
11211,18,103421.33,244244.67,6205.28,14654.68,310264,732734,50
46,7,17926.38,642001.0,640.23,22928.61,143411,5136008,224
7615,13,5894.89,1266827.33,213.07,45788.94,53054,11401446,249
3911,12,2158.23,431496.31,76.66,15326.37,28057,5609452,366
1658,16,7442.62,1340498.69,264.36,47613.34,96754,17426483,366
7606,13,2123.78,294638.11,76.46,10606.97,19114,2651743,250
6840,33,11223.7,695524.6,385.69,23901.19,112237,6955246,291
4644,10,2448.31,879486.69,86.96,31238.6,31828,11433327,366
4703,10,21511.15,342130.38,764.06,12152.17,279645,4447695,366
6167,25,51749.22,751462.33,1893.26,27492.52,465743,6763161,246
7210,19,4879.1,260403.5,183.42,9789.61,48791,2604035,266
60,7,3603.75,830717.13,128.71,29668.47,28830,6645737,224
6010,23,3941.62,543019.08,140.0,19287.56,51241,7059248,366
6641,22,111257.91,1393643.0,3922.55,49134.85,1223837,15330073,312
4367,17,6800.31,451503.08,242.2,16080.93,88404,5869540,365
6533,26,47723.08,248642.62,1709.09,8904.56,620400,3232354,363
7493,30,16741.6,1180271.5,629.38,44371.11,167416,11802715,266
1641,16,24540.15,1470110.0,871.64,52217.02,319022,19111430,366
11207,18,1504.0,88624.0,90.24,5317.44,4512,265872,50
6444,26,16590.54,228254.08,594.15,8174.39,215677,2967303,363
1765,16,85832.31,377978.92,3048.69,13425.48,1115820,4913726,366
4505,10,984.31,197692.38,34.96,7021.86,12796,2570001,366
2236,24,2351.46,659084.54,83.52,23410.11,30569,8568099,366
1821,16,6535.23,612259.46,232.13,21746.92,84958,7959373,366
4961,14,13627.54,1128039.92,484.04,40066.99,177158,14664519,366
5189,14,2384.36,1460642.18,95.03,58214.0,26228,16067064,276
4581,10,1250.92,263880.69,44.43,9372.81,16262,3430449,366
7600,13,3303.67,294721.89,118.93,10609.99,29733,2652497,250
1628,16,1396.92,130369.69,49.62,4630.62,18160,1694806,366
4260,17,9188.38,703821.77,326.36,24999.13,119449,9149683,366
4266,17,7508.0,849036.08,266.68,30157.02,97604,11037469,366
461,15,2005.38,475727.69,71.23,16897.43,26070,6184460,366
540,15,4117.46,515698.92,147.05,18417.82,53527,6704086,364
4279,17,27791.77,894075.15,987.14,31756.77,361293,11622977,366
4560,10,2269.62,467830.23,80.61,16616.92,29505,6081793,366
7143,19,4898.6,510976.8,184.16,19209.65,48986,5109768,266
7141,19,9801.2,510968.2,368.47,19209.33,98012,5109682,266
7397,30,5765.9,309042.2,216.76,11618.13,57659,3090422,266
5022,14,1574.46,184648.31,55.92,6558.55,20468,2400428,366
4305,17,2466.92,1001688.69,87.62,35579.11,32070,13021953,366
6030,23,131233.15,748930.31,4661.29,26601.35,1706031,9736094,366
6193,25,3446.78,868267.67,134.87,33975.69,31021,7814409,230
2291,24,7448.54,290257.54,264.57,10309.69,96831,3773348,366
6213,25,10343.0,1188288.23,367.37,42206.96,134459,15447747,366
5153,14,3051.69,633657.85,108.39,22506.97,39672,8237552,366
7208,19,5759.8,230305.4,219.84,8790.28,57598,2303054,262
4861,7,9040.75,830641.12,322.88,29665.75,72326,6645129,224
6293,25,29835.92,737250.77,1059.75,26186.5,387867,9584260,366
6495,26,4521.0,577069.38,161.91,20666.4,58773,7501902,363
7451,30,5662.6,252653.9,212.88,9498.27,56626,2526539,266
5797,28,161.08,253235.25,5.62,8833.79,1933,3038823,344
7187,19,6072.33,272495.67,253.01,11353.99,36434,1634974,144
7690,13,5501.0,1281604.89,198.04,46137.78,49509,11534444,250
6319,25,35581.38,1190968.08,1263.82,42302.14,462558,15482585,366
5725,28,60467.46,785034.31,2147.75,27883.73,786077,10205446,366
6272,25,47580.46,196112.69,1690.02,6965.75,618546,2549465,366
5148,14,15279.08,560449.46,542.7,19906.67,198628,7285843,366
7527,13,9288.78,528499.33,334.4,19025.98,83599,4756494,250
5849,28,16339.77,559609.31,580.37,19876.83,212417,7274921,366
6870,33,2701.4,88179.6,92.83,3030.23,27014,881796,291
609,15,8240.54,284883.08,293.5,10146.52,107127,3703480,365
6297,25,98972.77,1036593.92,3515.43,36818.91,1286646,13475721,366
7018,19,28931.8,526776.3,1087.66,19803.62,289318,5267763,266
6141,23,1807.92,750032.85,64.22,26640.51,23503,9750427,366
4610,10,6138.0,481655.69,218.02,17107.99,79794,6261524,366
5139,14,50233.73,526704.73,1879.49,19706.64,552571,5793752,294
7683,13,6280.78,767762.67,226.11,27639.46,56527,6909864,250
7098,19,5175.0,254604.0,195.28,9607.7,51750,2546040,265
6306,25,34604.62,1190910.08,1229.13,42300.08,449860,15481831,366
6775,33,12971.4,662017.1,445.75,22749.73,129714,6620171,291
73,7,48742.88,255094.13,1740.82,9110.5,389943,2040753,224
4493,10,4555.31,210162.31,161.8,7464.78,59219,2732110,366
6041,23,3168.69,749018.46,112.55,26604.48,41193,9737240,366
11358,32,57005.0,1262126.6,2159.28,47807.83,285025,6310633,132
11625,32,13417.2,1262306.4,508.23,47814.64,67086,6311532,132
2832,12,65921.92,410745.0,2341.49,14589.3,856985,5339685,366
4545,10,2245.54,94834.69,79.76,3368.45,29192,1232851,366
7307,30,83258.5,1179544.9,3130.02,44343.79,832585,11795449,266
4309,17,86890.15,894256.85,3086.26,31763.22,1129572,11625339,366
6177,25,10496.77,150580.77,372.84,5348.5,136458,1957550,366
5980,23,28936.46,455163.69,1027.8,16167.02,376174,5917128,366
5052,14,8186.85,695391.38,290.79,24699.69,106429,9040088,366
6575,26,14806.77,1125656.77,530.27,40312.78,192488,14633538,363
11494,32,1098.6,608842.0,41.61,23062.2,5493,3044210,132
6153,25,8106.46,1257774.69,287.93,44675.06,105384,16351071,366
6849,33,2439.0,88179.7,83.81,3030.23,24390,881797,291
4811,7,5392.87,582044.5,192.6,20787.3,43143,4656356,224
6103,23,8688.15,543020.92,308.6,19287.63,112946,7059272,366
6977,33,10162.5,268208.0,349.23,9216.77,101625,2682080,291
6900,33,4008.8,448503.4,137.76,15412.49,40088,4485034,291
7140,19,24799.9,511127.6,932.33,19215.32,247999,5111276,266
2261,24,48376.23,549862.69,1718.28,19530.64,628891,7148215,366
4440,17,69967.85,1503397.23,2485.2,53399.36,909582,19544164,366
7581,13,9926.0,913015.11,361.68,33267.76,89334,8217136,247
11656,32,8526.0,1370065.2,322.95,51896.41,42630,6850326,132
6794,33,1120.1,618663.0,38.49,21259.9,11201,6186630,291
4996,14,6232.31,1066958.62,221.37,37897.44,81020,13870462,366
1248,36,11716.33,880529.67,502.13,37736.99,35149,2641589,70
5115,14,14352.92,623550.62,509.8,22147.97,186588,8106158,366
2914,12,17965.15,1595819.38,638.11,56682.11,233547,20745652,366
5792,28,12677.15,808383.23,450.28,28713.07,164803,10508982,366
4315,17,93435.3,806861.8,3447.8,29773.5,934353,8068618,271
2891,12,13905.0,262303.31,493.89,9316.78,180765,3409943,366
4548,10,27041.62,467748.69,960.49,16614.02,351541,6080733,366
591,15,5314.62,588394.69,189.29,20956.52,69090,7649131,365
5046,14,8201.46,664731.69,291.31,23610.69,106619,8641512,366
1798,16,3562.54,492429.46,126.54,17490.66,46313,6401583,366
7723,13,9429.56,195369.33,339.46,7033.3,84866,1758324,250
1685,16,4740.38,397404.92,168.37,14115.48,61625,5166264,366
6280,25,20867.15,737204.23,741.18,26184.85,271273,9583655,366
6631,22,13742.91,1386314.09,481.44,48565.14,151172,15249455,314
5932,23,7859.15,289034.62,279.15,10266.26,102169,3757450,366
6397,26,4755.23,1032835.85,170.3,36988.61,61818,13426866,363
4814,7,17896.0,707974.13,639.14,25284.79,143168,5663793,224
7705,13,9587.56,1281592.44,345.15,46137.33,86288,11534332,250
5760,28,61800.38,1171824.77,2195.1,41622.19,803405,15233722,366
6383,26,40324.85,1032520.85,1444.14,36977.33,524223,13422771,363
5934,23,5250.0,289038.85,186.48,10266.41,68250,3757505,366
5907,23,4796.29,440523.71,183.46,16850.63,33574,3083666,183
2212,14,11276.31,1066745.38,400.52,37889.86,146592,13867690,366
5667,28,9445.15,655687.38,335.48,23289.44,122787,8523936,366
5137,14,5488.15,560783.46,194.93,19918.54,71346,7290185,366
6510,26,21438.54,973253.77,767.77,34854.82,278701,12652299,363
2290,24,6468.46,489660.15,229.75,17392.3,84090,6365582,366
2299,24,1319.69,284026.38,46.87,10088.37,17156,3692343,366
6677,22,5579.18,858092.55,195.45,30060.57,61371,9439018,314
11440,32,12326.0,1325416.6,466.89,50205.17,61630,6627083,132
421,15,4287.69,95951.69,152.71,3417.46,55740,1247372,365
6308,25,17452.92,1675926.62,619.91,59527.45,226888,21787046,366
6569,26,9714.38,589503.69,347.9,21111.7,126287,7663548,363
1729,16,22232.69,607874.62,789.69,21591.17,289025,7902370,366
6658,22,20173.82,567448.64,706.73,19878.77,221912,6241935,314
1274,36,5485.67,722434.0,235.1,30961.46,16457,2167302,70
2888,12,15841.38,2942048.46,562.67,104498.99,205938,38246630,366
1760,16,19453.38,1316535.23,690.97,46762.18,252894,17114958,366
7355,30,5993.7,930797.4,225.33,34992.38,59937,9307974,266
4347,17,114538.15,703827.69,4068.3,24999.34,1488996,9149760,366
4478,10,22845.0,397225.0,811.43,14109.08,296985,5163925,366
7366,30,5741.9,801749.4,215.86,30140.95,57419,8017494,266
