store_name,store_id,mall_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,mall_name,mall_country,total_mall_area,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m,total_occupancy_cost,cost_to_sales_ratio,cost_to_area_ratio
store_11,11,0,01/06/2010,31/07/2022,Bags & Footwear & Accessories,Footwear,Family footwear,694915.35,16245.6,430.7142857142857,Westfield Donau Zentrum,Austria,108440.8,0.0,1188463.0,0.0,0.0,190848.0,0.0,0.0,1395556.6,2.008239708620626,3240.09824212272
store_12,12,0,01/09/2009,09/01/2022,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,91.75,56700.0,96.84833333333334,Westfield Donau Zentrum,Austria,108440.8,0.0,11164.0,4560.0,0.0,0.0,0.0,0.0,72424.0,789.3623978201634,747.8084289869039
store_13,13,0,16/09/2010,31/07/2022,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1636983.0,29371.071428571428,700.466,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29371.071428571428,0.017942196973683554,41.93075956373532
store_14,14,0,01/09/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,133530.0,71106.0,612.0,Westfield Donau Zentrum,Austria,108440.8,0.0,7842.0,4082.0,0.0,0.0,44519.0,46040.0,173589.0,1.3,283.6421568627451
store_15,15,0,01/02/2008,17/03/2022,Bags & Footwear & Accessories,Footwear,Sport shoes,1537633.0,2195366.0,430.7142857142857,Westfield Donau Zentrum,Austria,108440.8,0.0,1827.0,0.0,0.0,0.0,0.0,0.0,2197193.0,1.4289450083342383,5101.27728026534
store_16,16,0,15/10/2010,19/12/2021,Food & Beverage Services,Sweet moments,Juices,963220.0,239820.0,19.5,Westfield Donau Zentrum,Austria,108440.8,0.0,17947.0,0.0,714.0,0.0,0.0,0.0,258481.0,0.2683509478623783,13255.435897435897
store_17,17,0,28/10/2010,09/01/2022,Culture & Media & Technology,Computer Products & Electronics games,"Video games, softwares",5364638.0,80353.0,567.5808771929825,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80353.0,0.014978270668030164,141.57101345167285
store_18,18,0,01/06/2000,31/03/2024,Food & Beverage Services,Gourmet Food Products,Bio and vegetarian,839225.0,199.66666666666666,191.0,Westfield Donau Zentrum,Austria,108440.8,-25625.0,13175.0,11587.0,0.0,4388.0,0.0,599.0,4323.666666666664,0.005151975532981815,22.636998254799288
store_19,19,0,01/02/2009,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,750329.0,91.28571428571429,278.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,26983.0,0.0,3300.0,0.0,30374.285714285714,0.040481289826577026,109.26002055498458
store_20,20,0,01/04/2010,,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,65581390.0,437851.0,36.0,Westfield Donau Zentrum,Austria,108440.8,0.0,496.0,0.0,0.0,0.0,0.0,0.0,438347.0,0.006684015084157259,12176.305555555555
store_21,21,0,01/07/1996,,Fashion apparel,Family Fashion,Family Fashion,23197438.0,105524.0,2555.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,3894.0,0.0,109418.0,0.004716813986096223,42.82504892367906
store_22,22,0,01/09/2004,,Health & Beauty,Hair & Body,Hairdressers,581103.0,161965.0,118.0,Westfield Donau Zentrum,Austria,108440.8,0.0,3452.0,17103.0,0.0,54441.0,0.0,0.0,236961.0,0.407777967072963,2008.1440677966102
store_23,23,0,28/10/2010,09/02/2021,Fashion apparel,Lingerie & Underwear,Women underwear,24240667.0,3758.181818181818,134.0,Westfield Donau Zentrum,Austria,108440.8,0.0,30693.0,0.0,0.0,0.0,0.0,0.0,34451.181818181816,0.0014212142684927695,257.09837177747625
store_24,24,0,28/10/2010,,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,119230.0,673459.0,242.91,Westfield Donau Zentrum,Austria,108440.8,0.0,81495.0,0.0,0.0,0.0,0.0,86827.0,841781.0,7.060144258995219,3465.402824091227
store_25,25,0,01/09/2000,15/02/2024,Fashion apparel,Women's Fashion,Women's Fashion,364441.0,44440.0,319.28545454545457,Westfield Donau Zentrum,Austria,108440.8,0.0,13512.0,22617.0,0.0,0.0,0.0,3463.0,84032.0,0.230577788997396,263.1876861400741
store_26,26,0,01/09/2000,06/03/2022,Fashion apparel,Matern./Childr. Fash.,Children fashion,15844684.0,110695.0,268.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,19441.0,0.0,0.0,0.0,621.0,130757.0,0.008252420811926574,487.89925373134326
store_27,27,0,23/10/1986,,Fashion apparel,Family Fashion,Family Fashion,1132286.07,1599329.0,3387.0,Westfield Donau Zentrum,Austria,108440.8,0.0,7192.0,0.0,0.0,33000.0,0.0,0.0,1639521.0,1.4479741855342263,484.0628875110717
store_28,28,0,01/11/1999,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,91.28571428571429,302442.0,266.0,Westfield Donau Zentrum,Austria,108440.8,0.0,50252.0,8380.0,5259.0,0.0,0.0,0.0,366333.0,4013.0375586854457,1377.1917293233082
store_29,29,0,01/05/1999,,Bags & Footwear & Accessories,Leath. Bags/Luggage,Luggage,10411.724137931034,398750.0,247.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,1497.0,0.0,0.0,400247.0,38.44195204345234,1620.4331983805669
store_30,30,0,01/02/2003,,Fashion apparel,Family Fashion,Jeans,11522845.0,1552694.0,206.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552694.0,0.13474918737516647,7537.349514563107
store_31,31,0,01/06/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,3838247.0,116029.0,231.0,Westfield Donau Zentrum,Austria,108440.8,0.0,35256.0,42088.0,0.0,11822.0,0.0,1003.0,206198.0,0.05372192044962192,892.6320346320347
store_32,32,0,01/06/2001,,Food & Beverage Services,Fast Meal,American & Burgers,1507948.0,204109.0,521.0,Westfield Donau Zentrum,Austria,108440.8,0.0,3171.0,5229.0,0.0,0.0,0.0,1224.0,213733.0,0.14173764612572848,410.23608445297504
store_33,33,0,01/11/1986,,Services,Multiservices shops,Multiservices shops,3850875.0,65384.0,34.27,Westfield Donau Zentrum,Austria,108440.8,0.0,4373.0,4326.0,0.0,72250.0,0.0,94.0,146427.0,0.03802434511636966,4272.745841844178
store_33,34,0,23/10/1990,28/01/2024,Services,Multiservices shops,Multiservices shops,35033.0,35033.0,52.1175,Westfield Donau Zentrum,Austria,108440.8,0.0,35873.0,6390.0,0.0,27421.0,0.0,4797.0,109514.0,3.1260240344817745,2101.2903535280857
store_34,35,0,22/09/2010,,Home,Furniture & Interior Design,Decoration accessories / Design,253902679.0,11586.0,261.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,9538.0,0.0,78586.0,0.0,0.0,99710.0,0.0003927095231634007,382.03065134099614
store_35,36,0,28/10/2010,,Food & Beverage Services,Fast Meal,Fish & Seaproducts,8256679.0,185806.0,252.0,Westfield Donau Zentrum,Austria,108440.8,0.0,49903.0,8924.0,0.0,127902.0,0.0,2264.0,374799.0,0.04539343239576105,1487.297619047619
store_36,37,0,01/05/2009,,Fashion apparel,Women's Fashion,Women's Fashion,637870.0,300000.0,216.0,Westfield Donau Zentrum,Austria,108440.8,0.0,4862.0,20196.0,0.0,0.0,0.0,4138.0,329196.0,0.516086349883205,1524.0555555555557
store_37,38,0,13/01/1997,28/05/2022,Fashion apparel,Women's Fashion,Women's Fashion,85240647.0,707861.0,319.28545454545457,Westfield Donau Zentrum,Austria,108440.8,0.0,142790.0,25165.0,0.0,46484.0,0.0,0.0,922300.0,0.010819955413993984,2888.6376966749613
store_38,39,0,23/10/1990,,Fashion apparel,Lingerie & Underwear,Women underwear,724546.52,162000.0,95.0,Westfield Donau Zentrum,Austria,108440.8,0.0,5854.0,2120.0,0.0,25656.0,0.0,0.0,195630.0,0.2700033670715857,2059.2631578947367
store_40,41,0,28/10/2010,,Fashion apparel,Family Fashion,Family Fashion,1607455.0,111187.0,4605.0,Westfield Donau Zentrum,Austria,108440.8,0.0,68756.0,0.0,6536.0,0.0,0.0,0.0,186479.0,0.11600884628185548,40.49489685124864
store_41,42,0,01/05/1999,30/09/2024,Services,Multiservices shops,Multiservices shops,35033.0,47500.0,53.0,Westfield Donau Zentrum,Austria,108440.8,0.0,6862.0,0.0,0.0,0.0,6022.0,170274.0,230658.0,6.5840207804070445,4352.037735849057
store_42,43,0,01/04/1990,,Services,Clothing-related services,Dry cleaning,7231855.0,127104.0,139.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,19247.0,0.0,38647.0,0.0,184998.0,0.02558098855687787,1330.9208633093526
store_43,44,0,01/10/2009,28/02/2022,Food & Beverage Services,Fast Meal,Local Kitchen,128.16666666666666,3358174.0,155.5,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3358174.0,26201.617685305595,21595.97427652733
store_44,45,0,01/10/2006,,Food & Beverage Services,Service to table restaurants,Italian - Service to table restaurants,668383.0,87521.0,255.0,Westfield Donau Zentrum,Austria,108440.8,0.0,8692.0,0.0,0.0,3327.0,0.0,0.0,99540.0,0.14892658849791213,390.3529411764706
store_45,46,0,28/10/2010,27/02/2022,Bags & Footwear & Accessories,Footwear,Family footwear,873495.0,16245.6,430.7142857142857,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,4905.0,0.0,0.0,0.0,21150.6,0.024213761956279084,49.105870646766164
store_46,47,0,01/01/2008,,Food & Beverage Services,Service to table restaurants,American & Burgers & Steakhouse,903994.0,274765.0,1006.02,Westfield Donau Zentrum,Austria,108440.8,0.0,2053.0,4326.0,0.0,0.0,1392.0,0.0,282536.0,0.3125418974019739,280.845311226417
store_47,48,0,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Multibrand electronics,4499063.0,43884.0,5387.72,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,13134.0,11421.0,0.0,2902.0,0.0,71341.0,0.015856857305621194,13.241408239477924
store_48,49,0,01/11/2009,24/04/2022,Food & Beverage Services,Gourmet Food Products,Chocolate,17159.2,17159.2,80.0,Westfield Donau Zentrum,Austria,108440.8,0.0,472291.0,0.0,0.0,0.0,0.0,85796.0,575246.2,33.524068721152496,7190.577499999999
store_49,50,0,01/05/2009,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,2381670.0,2220845.0,71.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,1273.0,0.0,0.0,0.0,2222118.0,0.9330083512829234,31297.436619718308
store_50,51,0,01/01/2009,,Jewellery,Jewellery & Watches,Watches,861353.0,456.0,21.0,Westfield Donau Zentrum,Austria,108440.8,0.0,386.0,568.0,0.0,33704.0,0.0,456.0,35570.0,0.04129549673594914,1693.8095238095239
store_51,52,0,01/03/1999,,Fashion apparel,Women's Fashion,Women's Fashion,4644422.84,10293.217391304348,262.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,2532.0,2368.0,0.0,54336.0,69529.21739130435,0.014970475296195114,265.3786923332227
store_52,53,0,28/10/2010,,Food & Beverage Services,Fast Meal,Cafeterias,395227.0,32588.0,160.3,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,33687.0,0.08523456140395266,210.14971927635682
store_53,54,0,01/08/1995,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Coffee beans & capsules,2364344.0,2381.0,265.0,Westfield Donau Zentrum,Austria,108440.8,0.0,383603.0,0.0,0.0,0.0,0.0,2381.0,388365.0,0.16425909258551208,1465.5283018867924
store_0,55,0,01/02/2010,29/03/2021,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,654155.0,225790.0,243.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,14420.0,0.0,0.0,652.0,0.0,240862.0,0.3682032545803365,991.201646090535
store_54,56,0,15/09/2010,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,29371.071428571428,61326.0,86.0,Westfield Donau Zentrum,Austria,108440.8,0.0,22820.0,18515.0,1902.0,0.0,0.0,64274.0,168837.0,5.748411337686499,1963.2209302325582
store_55,57,0,01/08/2009,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",505995.0,284756.0,86.0,Westfield Donau Zentrum,Austria,108440.8,0.0,7738.0,9532.0,0.0,170260.0,0.0,0.0,472286.0,0.9333807646320615,5491.697674418605
store_56,58,0,01/06/2010,,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",258180.0,83147.0,60.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,4121.0,0.0,0.0,87268.0,0.33801223952281356,1454.4666666666667
store_57,59,0,28/10/2010,29/04/2023,Services,Imaterial services,Travel Agency,1750924.0,6146.4,87.5,Westfield Donau Zentrum,Austria,108440.8,0.0,14253.0,9450.0,0.0,8736.0,0.0,0.0,38585.4,0.022037164377208835,440.976
store_58,60,0,01/11/1975,,Services,Imaterial services,Travel Agency,463590.0,6146.4,73.0,Westfield Donau Zentrum,Austria,108440.8,0.0,18988.0,0.0,0.0,11491.0,0.0,0.0,36625.4,0.07900386117043078,501.7178082191781
store_59,61,0,01/09/2000,,Home,Furniture & Interior Design,Tableware and kitchen tools,4456260.0,485599.0,131.0,Westfield Donau Zentrum,Austria,108440.8,0.0,119000.0,0.0,0.0,0.0,0.0,0.0,604599.0,0.13567408544384754,4615.259541984733
store_60,62,0,01/01/2008,20/03/2021,Health & Beauty,Optician,Optician & Sunglasses,652916.0,570472.0,238.705,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,10867.0,0.0,0.0,446.0,0.0,581785.0,0.8910564299236042,2437.255189459793
store_61,63,0,28/10/2010,31/07/2022,Health & Beauty,Hair & Body,Hairdressers,967990.0,147033.0,119.75,Westfield Donau Zentrum,Austria,108440.8,0.0,541049.0,34516.0,2420.0,11770.0,0.0,0.0,736788.0,0.7611524912447443,6152.718162839248
store_62,64,0,28/10/2010,20/09/2023,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1414632.0,66800.0,700.466,Westfield Donau Zentrum,Austria,108440.8,0.0,15562.0,0.0,0.0,23618.0,0.0,379.0,106359.0,0.07518492441850601,151.84034628375966
store_63,65,0,28/10/2010,05/02/2023,Fashion apparel,Family Fashion,Family Fashion,1666666.0,464831.0,1456.1716666666666,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,735.0,0.0,0.0,0.0,0.0,465566.0,0.2793397117358847,319.71917230454744
store_64,66,0,01/11/1975,24/12/2020,Bags & Footwear & Accessories,Footwear,Family footwear,16245.6,78556.0,430.7142857142857,Westfield Donau Zentrum,Austria,108440.8,0.0,227640.0,4249.0,0.0,0.0,0.0,1569.0,312014.0,19.206061949081597,724.4106135986733
store_65,67,0,01/11/2010,31/10/2020,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,2094661.0,24698.0,96.84833333333334,Westfield Donau Zentrum,Austria,108440.8,0.0,32964.0,2402.0,0.0,0.0,0.0,734.0,60798.0,0.029025221742324893,627.765062210673
store_66,68,0,10/03/2011,,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,12009484.0,241770.0,1406.0,Westfield Donau Zentrum,Austria,108440.8,0.0,14220.0,0.0,0.0,0.0,0.0,233.0,256223.0,0.021335054861641018,182.23541963015649
store_67,69,0,03/03/2011,24/06/2021,Fashion apparel,Women's Fashion,Women's Fashion,674576.0,212346.0,319.28545454545457,Westfield Donau Zentrum,Austria,108440.8,0.0,5058.0,16213.0,0.0,3138.0,0.0,2092.0,238847.0,0.35406981570645857,748.0672752225139
store_68,70,0,21/03/2011,31/03/2024,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,47510.0,201854.0,68.66666666666667,Westfield Donau Zentrum,Austria,108440.8,0.0,20148.0,0.0,0.0,0.0,0.0,5970.0,227972.0,4.7984003367712065,3319.9805825242715
store_69,71,0,05/03/2011,,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,23109026.12,12563.6,67.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12563.6,0.0005436663550752869,187.51641791044776
store_70,72,0,11/05/2011,07/04/2021,Food & Beverage Services,Gourmet Food Products,Bio and vegetarian,6565990.0,245250.0,191.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245250.0,0.03735156465361659,1284.0314136125655
store_71,73,0,26/05/2011,25/12/2020,Fashion apparel,Women's Fashion,Women's Fashion,740299.0,1260623.0,319.28545454545457,Westfield Donau Zentrum,Austria,108440.8,0.0,21115.0,4249.0,21263.0,0.0,0.0,0.0,1307250.0,1.76584055901737,4094.29863274243
store_72,74,0,01/06/2011,,Health & Beauty,Pharmacy,Pharmacy,164461.0,1259955.0,294.23,Westfield Donau Zentrum,Austria,108440.8,0.0,384460.0,10177.0,30318.0,73.0,0.0,0.0,1684983.0,10.245486771939852,5726.7545797505345
store_38,75,0,26/08/2011,,Fashion apparel,Lingerie & Underwear,Women underwear,3758.181818181818,3758.181818181818,175.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,2120.0,0.0,0.0,5878.181818181818,1.564102564102564,33.589610389610385
store_73,76,0,07/09/2011,,Services,Car services,Car wash,1053408.0,110443.0,260.0,Westfield Donau Zentrum,Austria,108440.8,0.0,42074.0,3254.0,0.0,0.0,0.0,0.0,155771.0,0.14787337859594762,599.1192307692307
store_74,77,0,04/11/2011,,Fashion apparel,Lingerie & Underwear,Women underwear,3758.181818181818,268565.0,167.0,Westfield Donau Zentrum,Austria,108440.8,0.0,43200.0,0.0,7502.0,5946.0,0.0,391.0,325604.0,86.63870343492985,1949.7245508982037
store_75,78,0,24/11/2011,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,424634.0,117876.0,4260.63,Westfield Donau Zentrum,Austria,108440.8,0.0,92.0,9905.0,0.0,29901.0,0.0,0.0,157774.0,0.3715529138034166,37.03067386747969
store_76,79,0,01/03/2012,29/10/2023,Food & Beverage Services,Fast Meal,Asian - Fast Meal,819417.55,394301.0,138.1525,Westfield Donau Zentrum,Austria,108440.8,0.0,13981.0,8197.0,0.0,0.0,0.0,14743.0,431222.0,0.5262542887933019,3121.347785961166
store_77,80,0,25/06/2012,,Gifts,Florists,Florists,590241.0,1770783.0,46.87,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,32314.0,6000.0,30430.0,1839527.0,3.116569333543417,39247.42905909964
store_78,81,0,02/07/2012,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",7282.0,7282.0,101.0,Westfield Donau Zentrum,Austria,108440.8,0.0,3108.0,0.0,0.0,0.0,0.0,0.0,10390.0,1.4268058225762152,102.87128712871286
store_79,82,0,02/07/2012,,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,2114704.0,151119.0,11531.14,Westfield Donau Zentrum,Austria,108440.8,0.0,7747.0,12380.0,0.0,486.0,0.0,265.0,171997.0,0.08133384152108286,14.915871284192196
store_80,83,0,10/08/2012,13/11/2022,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,8023676.0,78486.0,242.005,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,17586.0,0.0,0.0,0.0,0.0,96072.0,0.011973564236641658,396.9835333980703
store_81,84,0,17/08/2012,,Fashion apparel,Women's Fashion,Women's Fashion,10293.217391304348,168000.0,190.0,Westfield Donau Zentrum,Austria,108440.8,0.0,11258.0,0.0,10473.0,0.0,0.0,3434.0,193165.0,18.76624117189876,1016.6578947368421
store_82,85,0,20/09/2012,16/09/2021,Gifts,Themed Gift,Themed gift,160301.0,273497.0,205.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,5194.0,0.0,0.0,0.0,0.0,278691.0,1.7385481063748822,1359.4682926829269
store_83,86,0,01/10/2012,25/09/2022,Fashion apparel,Men's Fashion,Men's Fashion,2671453.0,1142.25,245.8875,Westfield Donau Zentrum,Austria,108440.8,0.0,478.0,2788.0,15605.0,0.0,35690.0,0.0,55703.25,0.02085129328496515,226.53957602562147
store_84,87,0,22/10/2012,28/05/2023,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,942600.0,39791.0,53.473333333333336,Westfield Donau Zentrum,Austria,108440.8,0.0,14665.0,1240.0,2993.0,122673.0,0.0,0.0,181362.0,0.19240611075747932,3391.6344595436976
store_85,88,0,18/10/2012,,Food & Beverage Services,Service to table restaurants,Italian - Service to table restaurants,3882379.14,17.0,379.0,Westfield Donau Zentrum,Austria,108440.8,0.0,5336.0,917.0,0.0,2793.0,0.0,34.0,9097.0,0.002343150854658672,24.00263852242744
store_52,89,0,27/10/2012,,Food & Beverage Services,Fast Meal,Cafeterias,630544.0,83211.0,98.62,Westfield Donau Zentrum,Austria,108440.8,0.0,5703.0,4557.0,0.0,0.0,0.0,0.0,93471.0,0.1482386637570098,947.7894950314337
store_86,90,0,01/10/2012,01/01/2024,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,418846.0,13976.666666666666,952.65,Westfield Donau Zentrum,Austria,108440.8,0.0,9214.0,5294.0,0.0,8484.0,0.0,41697.0,78665.66666666666,0.18781525111059114,82.57562238667576
store_87,91,0,01/11/2012,02/06/2021,Food & Beverage Services,Fast Meal,Sandwiches,8860.5,28788.0,101.005,Westfield Donau Zentrum,Austria,108440.8,0.0,39545.0,0.0,0.0,0.0,0.0,0.0,68333.0,7.712092997009198,676.5308648086728
store_88,92,0,22/10/2012,26/08/2022,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,77866.0,40265.0,53.473333333333336,Westfield Donau Zentrum,Austria,108440.8,0.0,56581.0,6906.0,0.0,10943.0,0.0,0.0,114695.0,1.472979220712506,2144.900885176412
store_89,93,0,01/12/2012,23/02/2021,Food & Beverage Services,Gourmet Food Products,Chocolate,535266.78,53653.0,80.0,Westfield Donau Zentrum,Austria,108440.8,0.0,2099.0,0.0,539.0,0.0,0.0,0.0,56291.0,0.10516438176865749,703.6375
store_90,94,0,01/02/2013,,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,546076.0,267384.0,289.01,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,12264.0,0.0,0.0,0.0,279648.0,0.5121045422248918,967.6066572090931
store_91,95,0,01/03/2013,,Services,Imaterial services,Others Immaterial services,10180827.0,298855.0,289.0,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,110566.0,0.0,0.0,409421.0,0.04021490592070762,1416.681660899654
store_92,96,0,19/03/2013,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,17850.0,29371.071428571428,71.0,Westfield Donau Zentrum,Austria,108440.8,0.0,21627.0,0.0,0.0,3219.0,1855.0,0.0,56072.07142857143,3.1412925170068027,789.7474849094567
store_93,97,0,01/06/2013,,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,13976.666666666666,75000.0,499.3,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,0.0,0.0,20695.0,0.0,0.0,95695.0,6.8467684235630815,191.65832165031043
store_16,98,0,20/06/2013,,Food & Beverage Services,Sweet moments,Juices,143.66666666666666,143.66666666666666,28.0,Westfield Donau Zentrum,Austria,108440.8,0.0,47092.0,3792.0,0.0,1153.0,0.0,0.0,52180.666666666664,363.2064965197216,1863.595238095238
store_95,100,0,08/06/2013,,Food & Beverage Services,Gourmet Food Products,Gourmet General Grocery,810184.0,82190.0,115.0,Westfield Donau Zentrum,Austria,108440.8,0.0,12513.0,0.0,7911.0,172346.0,0.0,0.0,274960.0,0.3393796964640131,2390.9565217391305
store_96,101,0,13/06/2013,,Fashion apparel,Family Fashion,Family Fashion,1687367.53,644636.0,440.15,Westfield Donau Zentrum,Austria,108440.8,0.0,0.0,4315.0,0.0,93093.0,0.0,538.0,742582.0,0.4400831394450265,1687.1112120867888
